frase,risco_churn
Não recebemos retorno do chamado sobre o sistema de gestão ao longo do ano.,1
A equipe de projetos está muito satisfeita com a plataforma Fluig ao longo do ano.,0
O setor de RH está animada com os novos recursos de o módulo fiscal.,0
O time financeiro está insatisfeita com o sistema Protheus nos últimos dias.,1
O time financeiro elogiou o desempenho de o módulo de estoque há duas semanas.,0
Nossa equipe quer expandir o uso de o sistema de gestão para outros setores.,0
O módulo de RH se mostrou estável mesmo em períodos de pico desde a última atualização.,0
O sistema tem atendido bem nossas necessidades ao longo do ano.,0
O time de suporte interno está avaliando trocar o módulo financeiro por outra solução.,1
A equipe de projetos está muito satisfeita com o módulo de RM recentemente.,0
O time de suporte interno está muito satisfeita com o módulo fiscal desde a última atualização.,0
A equipe de projetos está muito satisfeita com a plataforma Fluig esse mês.,0
A equipe comercial está muito satisfeita com o ERP nas últimas reuniões.,0
A plataforma Fluig se mostrou estável mesmo em períodos de pico no último trimestre.,0
Nossa gerência elogiou o desempenho de o sistema de gestão ao longo do ano.,0
Nossa gerência elogiou o desempenho de a plataforma Fluig há duas semanas.,0
A diretoria está muito satisfeita com o sistema de gestão no último trimestre.,0
Não recebemos retorno do chamado sobre o módulo fiscal essa semana.,1
A equipe comercial está muito satisfeita com o sistema Protheus nos últimos meses.,0
Nosso time de TI está frustrada com a complexidade de o módulo de vendas.,1
O setor de RH conseguiu automatizar processos importantes com o módulo de RH.,0
O time de logística está muito satisfeita com o sistema ao longo do ano.,0
A solução da TOTVS tem atendido bem nossas necessidades nas últimas reuniões.,0
O sistema tem atendido bem nossas necessidades esse mês.,0
A diretoria elogiou o desempenho de o módulo de estoque desde a última atualização.,0
O custo de o módulo de compras aumentou e nossa equipe está reconsiderando o contrato.,1
A equipe de projetos está muito satisfeita com o sistema Protheus esse mês.,0
O time de suporte interno está muito satisfeita com o sistema de gestão ao longo do ano.,0
A equipe comercial questiona se vale a pena continuar pagando por a plataforma.,1
Nosso time de TI reclamou da demora do suporte sobre o módulo fiscal essa semana.,1
A diretoria recomendaria o módulo financeiro para outras empresas.,0
O time de logística conseguiu automatizar processos importantes com a plataforma.,0
A diretoria elogiou o desempenho de o módulo fiscal nas últimas reuniões.,0
A equipe de compras elogiou o desempenho de o módulo de vendas recentemente.,0
O setor de RH está frustrada com a complexidade de o sistema Protheus.,1
