frase,risco_churn
A plataforma tem atendido bem nossas necessidades no último trimestre.,0
A equipe de projetos conseguiu automatizar processos importantes com o módulo de RM.,0
O time de logística conseguiu automatizar processos importantes com a solução da TOTVS.,0
A equipe comercial elogiou o desempenho de o sistema Protheus no último trimestre.,0
A equipe comercial elogiou o desempenho de a plataforma Fluig nas últimas reuniões.,0
O time de suporte interno está animada com os novos recursos de o sistema Protheus.,0
Queremos entender melhor os recursos de inteligência artificial do sistema.,0
Nossa gerência recomendaria o sistema de gestão para outras empresas.,0
O módulo fiscal se mostrou estável mesmo em períodos de pico desde a última atualização.,0
A diretoria reclamou da demora do suporte sobre o módulo de estoque nas últimas reuniões.,1
A equipe comercial quer expandir o uso de a solução da TOTVS para outros setores.,0
O sistema de gestão apresentou lentidão constante nas últimas reuniões.,1
O time de suporte interno está avaliando trocar o sistema por outra solução.,1
O sistema tem atendido bem nossas necessidades nas últimas reuniões.,0
Nossa gerência está avaliando trocar o módulo de RH por outra solução.,1
Tivemos perda de dados usando o módulo de RM desde a última atualização.,1
O time de suporte interno recomendaria o módulo de RH para outras empresas.,0
A equipe de operações quer expandir o uso de o sistema Protheus para outros setores.,0
O módulo de estoque apresentou lentidão constante esse mês.,1
A equipe de projetos está insatisfeita com o módulo de vendas recentemente.,1
A diretoria conseguiu automatizar processos importantes com o módulo de estoque.,0
O time de logística está avaliando trocar o ERP por outra solução.,1
Nossa equipe elogiou o desempenho de a solução da TOTVS desde a última atualização.,0
O setor de RH está animada com os novos recursos de a plataforma.,0
O ERP tem atendido bem nossas necessidades nos últimos meses.,0
A equipe de compras está insatisfeita com o sistema de gestão essa semana.,1
Não tivemos nenhum problema com a plataforma ao longo do ano.,0
Não tivemos nenhum problema com a plataforma recentemente.,0
O time financeiro está animada com os novos recursos de o sistema.,0
O time de suporte interno reclamou da demora do suporte sobre a plataforma Fluig esse mês.,1
Tivemos perda de dados usando a plataforma Fluig desde a última atualização.,1
O time de suporte interno está animada com os novos recursos de o sistema.,0
O sistema Protheus se mostrou estável mesmo em períodos de pico desde a última atualização.,0
A diretoria conseguiu automatizar processos importantes com o sistema.,0
O custo de o módulo de RH aumentou e nossa equipe está reconsiderando o contrato.,1
A equipe comercial elogiou o desempenho de o módulo de RH ao longo do ano.,0
O time financeiro está avaliando trocar o módulo de RH por outra solução.,1
O ERP apresentou lentidão constante nos últimos dias.,1
A equipe de compras está muito satisfeita com o módulo de RM essa semana.,0
A equipe de projetos questiona se vale a pena continuar pagando por o sistema de gestão.,1
